stationId,latitude,longitude,year,month,day,AQI,Notes
Aotizhongxin,0,0,2019,1,23,93.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,23,93.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,23,93.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,23,93.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,23,93.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,24,77.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,24,77.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,24,77.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,24,77.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,24,77.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,24,77.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,24,77.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,25,186.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,25,186.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,25,186.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,25,186.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,25,186.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,25,186.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,25,186.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,26,53.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,26,53.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,26,53.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,26,53.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,26,53.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,26,53.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,26,53.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,27,86.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,27,86.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,27,86.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,27,86.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,27,86.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,27,86.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,27,86.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,28,129.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,28,129.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,28,129.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,28,129.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,28,129.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,28,129.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,28,129.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,29,102.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,29,102.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,29,102.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,29,102.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,29,102.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,29,102.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,29,102.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,30,183.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,30,183.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,30,183.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,30,183.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,30,183.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,30,183.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,30,183.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,31,79.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,31,79.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,31,79.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,31,79.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,31,79.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,31,79.0,Aotizhongxin
Aotizhongxin,0,0,2019,1,31,79.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,1,73.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,1,73.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,1,73.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,1,73.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,1,73.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,1,73.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,1,73.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,2,127.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,2,127.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,2,127.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,2,127.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,2,127.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,2,127.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,2,127.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,3,186.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,3,186.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,3,186.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,3,186.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,3,186.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,3,186.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,3,186.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,4,97.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,4,97.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,4,97.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,4,97.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,4,97.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,4,97.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,4,97.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,5,157.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,5,157.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,5,157.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,5,157.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,5,157.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,5,157.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,5,157.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,6,179.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,6,179.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,6,179.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,6,179.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,6,179.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,6,179.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,6,179.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,7,141.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,7,141.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,7,141.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,7,141.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,7,141.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,7,141.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,7,141.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,8,42.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,8,42.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,8,42.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,8,42.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,8,42.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,8,42.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,8,42.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,9,80.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,9,80.0,Aotizhongxin
Aotizhongxin,0,0,2019,2,9,80.0,Aotizhongxin
